gene_symbol,mean_DMD,mean_control,log2FC,p_value,padj,neg_log10_padj,regulation
TTC22,2.2629162039374995,2.2634507932499996,-0.0005345893125001666,0.8073596136223768,0.8972724594817271,0.04707566210377387,not_significant
GPR35,2.387455604375,2.419737069833333,-0.03228146545833299,0.8076210650945823,0.897517177724389,0.046957230638754725,not_significant
FAM134C,8.453892464625,8.419755741833333,0.034136722791666685,0.8079486084731897,0.8978353157957931,0.0468033158940581,not_significant
QSER1,5.94953018084375,5.923110301125,0.02641987971875004,0.808132543380482,0.8979938441741948,0.04672664044888947,not_significant
ROBO4,6.5610061491875005,6.528894207083333,0.03211194210416757,0.8085326098252181,0.8983925086443445,0.046533878149078355,not_significant
MZT1,5.20223404778125,5.229011717916666,-0.026777670135416543,0.8085751492535591,0.8983938902967915,0.04653321024104655,not_significant
SMNDC1,9.565700236875,9.590252910833334,-0.02455267395833438,0.8086250737674185,0.8984034768301001,0.04652857601952249,not_significant
LOC101928487,4.0663812188124995,4.0433282324999995,0.023052986312499968,0.8089291297026896,0.8986953945808402,0.04638748387211986,not_significant
WDR27,3.201412414625,3.211198403833333,-0.009785989208332957,0.809381128856222,0.8991516344925246,0.0461670619150593,not_significant
CDCA8,2.3392035547499996,2.3674911259999996,-0.02828757124999992,0.8094704254433269,0.899204917561253,0.04614132670397675,not_significant
MTA3,4.6525477365312495,4.676526013416667,-0.023978276885417316,0.809609662647957,0.8993136691808171,0.046088805447115154,not_significant
PTRF,9.40132320175,9.333094415944446,0.06822878580555347,0.8103070678270973,0.8999504931886104,0.04578138070108721,not_significant
CENPN,3.4568342125156253,3.4840778891250004,-0.0272436766093751,0.8103009382247506,0.8999504931886104,0.04578138070108721,not_significant
ZRANB3,3.118063523625,3.145920997611111,-0.027857473986110826,0.8103005178017353,0.8999504931886104,0.04578138070108721,not_significant
LOC102725051,4.208204203125,4.339723907833333,-0.1315197047083334,0.810732144155562,0.900376629542307,0.045575786208765914,not_significant
SORD,3.6516909205,3.6774322606666665,-0.025741340166666404,0.8108986312307589,0.9005155549987319,0.04550878102127182,not_significant
KANK3,6.7569123106874995,6.800164495833332,-0.04325218514583273,0.810951106212936,0.9005278605309796,0.045502846433903156,not_significant
FRG1JP,3.9203318781250003,3.9688529551666663,-0.04852107704166597,0.8109980808420482,0.9005340572028766,0.04549985799648791,not_significant
SLC23A3,3.2447372463541666,3.2348850090000005,0.009852237354166071,0.8111988818179233,0.9006650849213496,0.04543667273964569,not_significant
NFIA,7.396809985151786,7.422207902095238,-0.025397916943451726,0.8111904008178705,0.9006650849213496,0.04543667273964569,not_significant
LTBP1,6.81472463359375,6.856860359083332,-0.04213572548958222,0.8116501375748921,0.901120119568348,0.045217313584097994,not_significant
LZTR1,5.9871330214375,6.043970878333333,-0.056837856895833205,0.811736524684515,0.9011700395239653,0.045193255347795,not_significant
DDR1-AS1,2.3254085299374996,2.3383410619166667,-0.012932531979167106,0.812054562313665,0.9014771140038671,0.04504529433037282,not_significant
WDR83OS,9.3642203983125,9.396494923166665,-0.03227452485416471,0.8121475789835562,0.9015343698738271,0.04501771169031657,not_significant
ZC3HC1,8.467565795625,8.501485066166667,-0.03391927054166821,0.8122269967559024,0.9015765250484542,0.0449974048309003,not_significant
TOPORS-AS1,6.4569161134375,6.433092966,0.023823147437499692,0.8130845046581976,0.9024823162673004,0.044561299142828525,not_significant
LOC102724112,7.0716635673749995,7.102318813,-0.03065524562500066,0.8132357910912804,0.9026041852553852,0.04450265704553717,not_significant
